SKU_No,Product_Name,Product_Description,Category,Subcategory,Primary_Colour_Family,Gender_Target,Style_Descriptor,Image_URL,Material_Composition,Season,Occasion_Tag,Eco_Score,Style_Reward_Points,Adword_Grouping,Stock_Status,Price_INR,Discount_Percentage,Return_Type
1,3p fancy tanktop body,Sleeveless bodysuits in soft organic cotton jersey with press-studs at the crotch.,Garment Upper body,Vest top,White,Men,All over pattern,images/034/0348995028.jpg,Cotton Blend,Spring,Sports,85,40,garment_upper_body,Out of Stock,4896,14,15 days return
2,Scale tee,"Long T-shirt in slub cotton jersey in a relaxed fit with dropped shoulders and short sleeves with sewn-in turn-ups. Round neckline with a raw, roll edge, a chest pocket and a rounded hem at the front. Longer at the back.",Garment Upper body,T-shirt,Dark Red,Men,Solid,images/070/0702841002.jpg,Cotton Blend,Spring,Sports,91,86,garment_upper_body,Low Stock,2815,44,15 days return
3,Lina Jumpsuit,"Jumpsuit in a patterned weave with a frill-trimmed V-neck, covered buttons at the top and long sleeves with narrow elastication at the cuffs. Elasticated seam and a detachable tie belt at the waist and straight, wide legs. Unlined.",Garment Full body,Jumpsuit/Playsuit,Black,Men,All over pattern,images/078/0787989001.jpg,Cotton Blend,Spring,Formal,92,43,garment_full_body,In Stock,3329,7,7 days return
4,KATE BLOUSE,"Blouse in a patterned viscose weave with a V-neck, covered buttons at the front and long balloon sleeves with narrow elastication at the cuffs.",Garment Upper body,Blouse,White,Men,All over pattern,images/073/0732805002.jpg,Cotton Blend,Spring,Party,99,49,garment_upper_body,In Stock,1251,64,15 days return
5,Kiev super trash denim jacket,"Jacket in washed denim with hard-worn details, a collar and buttons down the front. Flap chest pockets with a button, side pockets, buttoned cuffs and a frayed, raw-edge hem.",Garment Upper body,Jacket,Black,Men,Denim,images/069/0699620001.jpg,Cotton Blend,Summer,Party,58,79,garment_upper_body,Out of Stock,1577,12,7 days return
6,LOTTA linnen dress,"Baby Exclusive. Dress in an organic linen weave with buttons at the back, short sleeves with sewn-in turn-ups, a gathered seam and a flared skirt. Cotton lining.",Garment Full body,Dress,Dark Blue,Men,Solid,images/070/0703369001.jpg,Cotton Blend,Spring,Formal,86,80,garment_full_body,Out of Stock,2171,8,No return
7,DENISE SHIRT,"Straight-cut shirt in a soft, patterned viscose weave with a collar and buttons down the front. Long sleeves with narrow, buttoned cuffs, and a rounded hem.",Garment Upper body,Shirt,Black,Men,All over pattern,images/085/0854223001.jpg,Cotton Blend,Spring,Work,56,62,garment_upper_body,Low Stock,2002,60,No return
8,Mimosa Body,"Long-sleeved body in stretch fabric with a stand-up collar, opening front and back, and hook-and-eye fasteners at the back of the neck. Seam at the hips, a microfibre lower section and a lined gusset with press-studs.",Garment Upper body,Bodysuit,Dark Red,Men,Solid,images/078/0789081002.jpg,Cotton Blend,Autumn,Formal,73,50,garment_upper_body,Out of Stock,706,32,15 days return
9,Nottie RW wide cropped,"Ankle-length twill trousers with a regular waist with elastication at the back, pleats at the front and a detachable tie belt. Side pockets and straight, wide legs.",Garment Lower body,Trousers,Black,Men,Solid,images/068/0684186001.jpg,Cotton Blend,Spring,Sports,83,84,garment_lower_body,In Stock,4111,26,No return
10,Noora Jumpsuit,"Ankle-length jumpsuit in a crêpe weave with notch lapels, a wrapover top with a concealed press-stud, and a concealed zip at the back. Seam and detachable tie belt at the waist, side pockets and straight, wide legs.",Garment Full body,Jumpsuit/Playsuit,Black,Men,All over pattern,images/050/0501325003.jpg,Cotton Blend,Autumn,Formal,52,49,garment_full_body,Out of Stock,1440,0,No return
11,Rick,"Trousers in stretch cotton twill with an adjustable elasticated waist, zip fly and press-stud, zipped side pockets, and back pockets with decorative seams. Tapered, shaped legs with seams at the knees.",Garment Lower body,Trousers,Black,Men,Solid,images/066/0664562001.jpg,Cotton Blend,Autumn,Formal,85,64,garment_lower_body,Low Stock,3187,69,15 days return
12,52-STUDIO TWENTYNINE PEACOAT,"STUDIO COLLECTION. Double-breasted pea coat in pile with narrow notch lapels, buttons at the front, side pockets and one inner pocket. Tabs with adjustable buttoning at the cuffs. Lined.",Garment Upper body,Coat,Dark Blue,Men,Solid,images/067/0677397001.jpg,Cotton Blend,Winter,Work,66,93,garment_upper_body,Out of Stock,2676,40,No return
13,Floss Top,Fitted top in jersey with wide shoulder straps and a knot detail at the top.,Garment Upper body,Vest top,Black,Men,Glittering/Metallic,images/075/0755861005.jpg,Cotton Blend,Summer,Formal,84,81,garment_upper_body,Low Stock,2130,31,15 days return
14,SPEED PERRIE SHIRT,"Shirt in a cotton weave with a frill-trimmed Peter Pan collar and French front. Long sleeves with a slit and button at the cuffs, and a gently rounded hem.",Garment Upper body,Shirt,Pink,Men,Solid,images/092/0920830006.jpg,Cotton Blend,Spring,Formal,52,16,garment_upper_body,Low Stock,2430,17,15 days return
15,ED Frugan LS 2p,"Fitted, long-sleeved tops in stretch organic cotton jersey with a wide neckline.",Garment Upper body,Top,Light Beige,Men,Solid,images/083/0831027005.jpg,Cotton Blend,Winter,Work,71,30,garment_upper_body,Out of Stock,3872,17,No return
16,TP Dayton LOGG chinos,"Chinos in a stretch cotton weave with an adjustable, elasticated waist, a zip fly and button, and tapered legs. Decorative coin pocket, diagonal side pockets and fake jetted back pockets.",Garment Lower body,Trousers,Black,Men,Solid,images/073/0739150005.jpg,Cotton Blend,Summer,Formal,62,73,garment_lower_body,Low Stock,2257,21,7 days return
17,Aloha ss shirt aop,"Short-sleeved shirt in a patterned cotton weave with a resort collar, buttons down the front and a straight-cut hem with short slits in the sides.",Garment Upper body,Shirt,Light Pink,Men,All over pattern,images/076/0769010001.jpg,Cotton Blend,Autumn,Sports,89,25,garment_upper_body,Low Stock,4805,39,15 days return
18,Coco utility,"Sleeveless blouse in woven fabric with a collar and buttons down the front. Yoke with a pleat at the back, flap chest pockets and a rounded hem.",Garment Upper body,Blouse,Black,Men,Solid,images/074/0743113003.jpg,Cotton Blend,Winter,Formal,98,42,garment_upper_body,Low Stock,4216,55,7 days return
19,SEQUINS TEE,T-shirt in soft cotton jersey with a motif on the front.,Garment Upper body,T-shirt,Black,Men,Sequin,images/066/0666327006.jpg,Cotton Blend,Summer,Formal,72,91,garment_upper_body,Out of Stock,4162,63,No return
20,Joline top,Short-sleeved top in soft cotton jersey an appliqué on the front and a rounded hem. Longer at the back.,Garment Upper body,T-shirt,Light Turquoise,Men,Sequin,images/079/0796556009.jpg,Cotton Blend,Autumn,Casual,99,34,garment_upper_body,Low Stock,4261,53,15 days return
21,NINA shorts,"Shorts in soft jersey made from a cotton blend with an elasticated waist, print motif on one leg and contrasting colour trims.",Garment Lower body,Shorts,Black,Men,Placement print,images/084/0840049003.jpg,Cotton Blend,Spring,Formal,93,54,garment_lower_body,Out of Stock,1062,48,15 days return
22,Skinny SS Scribble,"5-pocket slim-fit jeans in superstretch, flexible denim for maximum mobility with hard-worn details and a print motif on one leg. Adjustable elasticated waist, zip fly and narrow hems.",Garment Lower body,Trousers,Blue,Men,Denim,images/062/0625640001.jpg,Cotton Blend,Winter,Party,94,21,garment_lower_body,In Stock,4115,36,15 days return
23,Wave relaxed new,"Shorts in woven fabric. Relaxed fit with an elasticated, drawstring waist, zip fly and concealed hook-and-eye fastening. Side pockets and a welt back pocket.",Garment Lower body,Shorts,Light Beige,Men,Check,images/087/0878987007.jpg,Cotton Blend,Spring,Party,52,19,garment_lower_body,In Stock,2572,29,15 days return
24,Cassie cord Shorts,"Shorts in stretch cotton corduroy with covered elastication at the waist, a decorative bow at the front and side pockets.",Garment Lower body,Shorts,Dark Yellow,Men,Solid,images/076/0763245001.jpg,Cotton Blend,Spring,Formal,90,64,garment_lower_body,Out of Stock,3338,4,No return
25,Sean crewneck,"Long-sleeved jumper in soft, fine-knit cotton with a small imitation suede appliqué at the hem and ribbing around the neckline, cuffs and hem.",Garment Upper body,Cardigan,Dark Blue,Men,Stripe,images/086/0860786001.jpg,Cotton Blend,Summer,Formal,60,27,garment_upper_body,Low Stock,2579,60,No return
26,Lily dress,"Dress in patterned viscose crêpe with decorative gathers at the shoulders and long sleeves with wide, buttoned cuffs. Gathered yoke at the back, and a seam with a tie belt at the waist. Unlined.",Garment Full body,Dress,Off White,Men,All over pattern,images/059/0597040002.jpg,Cotton Blend,Autumn,Work,56,76,garment_full_body,Out of Stock,1282,0,No return
27,WC Shorts,Knee-length football shorts in fast-drying functional fabric with an elasticated drawstring waist and a print motif on one leg. Unlined.,Garment Lower body,Shorts,Red,Men,Placement print,images/055/0554555004.jpg,Cotton Blend,Spring,Party,70,27,garment_lower_body,Out of Stock,2387,0,No return
28,Smedby blouse,"Blouse in an airy cotton weave with a boat neck, dropped shoulders, long, wide sleeves with elastication at the cuffs and a long tie belt at the waist.",Garment Upper body,Blouse,Light Blue,Men,Stripe,images/072/0721949005.jpg,Cotton Blend,Summer,Work,84,92,garment_upper_body,Out of Stock,568,69,15 days return
29,Poppins,"Short, sleeveless dress in slub jersey made from a modal and cotton blend with a V-neck and shoulder straps that cross with a knot at the back. A-line and slightly longer at the back.",Garment Full body,Dress,Black,Men,Solid,images/066/0667533002.jpg,Cotton Blend,Spring,Work,57,16,garment_full_body,Low Stock,4254,64,7 days return
30,Cassidy dress,"Calf-length dress in chiffon with a deep V-neck, buttons down the front, pin-tucks at the front and a double-layered yoke at the back. Long sleeves with narrow trims at the cuffs, a seam at the waist and a gently flared skirt. Satin lining.",Garment Full body,Dress,Dark Green,Men,Solid,images/093/0937965001.jpg,Cotton Blend,Summer,Work,65,97,garment_full_body,Low Stock,1413,42,15 days return
31,Maribou Yoga Wrap LS,"Ribbed yoga top in fast-drying jersey with long sleeves, a wrapover front and wide ties at the waist.",Garment Upper body,Sweater,Pink,Men,Solid,images/085/0851797002.jpg,Cotton Blend,Winter,Party,92,93,garment_upper_body,Out of Stock,3113,50,15 days return
32,Topi Dress,"Short, fitted dress in sturdy jersey with a round neckline and short sleeves.",Garment Full body,Dress,Dark Grey,Men,All over pattern,images/086/0862693002.jpg,Cotton Blend,Winter,Party,78,22,garment_full_body,In Stock,4851,59,15 days return
33,Printed Sweatshirt 19.99,"Top in sweatshirt fabric with a motif in a relaxed fit with long sleeves and ribbing around the neckline, cuffs and hem.",Garment Upper body,Sweater,Grey,Men,Placement print,images/055/0551044044.jpg,Cotton Blend,Summer,Sports,71,50,garment_upper_body,In Stock,1162,35,15 days return
34,WENDY LEGGINGS,"Leggings in soft, printed cotton jersey with an elasticated waist.",Garment Lower body,Leggings/Tights,Black,Men,All over pattern,images/074/0744115004.jpg,Cotton Blend,Summer,Work,83,49,garment_lower_body,In Stock,2925,38,15 days return
